poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
88887,320,Monmouth,,,Monmouth University Polling Institute,215,Monmouth University Polling Institute,2.9,-0.9,Live Phone/Text-to-Web,9.0,New Jersey,10/10/24,10/14/24,,,,,,,213824,603.0,rv,,rv,,10/23/24 11:54,,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_nj_101624/,,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_nj_101624/,,,,,9788,2024,U.S. House,7,District 7,11/5/24,general,False,False,,False,DEM,Altman,31242,Sue Altman,44.0
88887,320,Monmouth,,,Monmouth University Polling Institute,215,Monmouth University Polling Institute,2.9,-0.9,Live Phone/Text-to-Web,9.0,New Jersey,10/10/24,10/14/24,,,,,,,213824,603.0,rv,,rv,,10/23/24 11:54,,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_nj_101624/,,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_nj_101624/,,,,,9788,2024,U.S. House,7,District 7,11/5/24,general,False,False,,False,REP,Kean,31241,Thomas H. Kean Jr.,46.0
88660,1359,DCCC Targeting Team,,,DCCC Targeting and Analytics Department,68,DCCC Targeting and Analytics Department,1.1,0.1,Live Phone/Text-to-Web,1.0,New Jersey,10/8/24,10/9/24,,,,,,,212357,386.0,lv,,lv,,10/11/24 13:07,,https://newjerseyglobe.com/congress/dccc-poll-finds-kean-with-tiny-lead-in-nj-7/,https://newjerseyglobe.com/congress/dccc-poll-finds-kean-with-tiny-lead-in-nj-7/,https://dccc.org/wp-content/uploads/2024/10/DCCC-Polling-Memo_-Analytics-Poll-Confirms-Tight-Race-in-NJ-07-.pdf,,,True,DEM,9788,2024,U.S. House,7,District 7,11/5/24,general,False,False,,False,DEM,Altman,31242,Sue Altman,48.0
88660,1359,DCCC Targeting Team,,,DCCC Targeting and Analytics Department,68,DCCC Targeting and Analytics Department,1.1,0.1,Live Phone/Text-to-Web,1.0,New Jersey,10/8/24,10/9/24,,,,,,,212357,386.0,lv,,lv,,10/11/24 13:07,,https://newjerseyglobe.com/congress/dccc-poll-finds-kean-with-tiny-lead-in-nj-7/,https://newjerseyglobe.com/congress/dccc-poll-finds-kean-with-tiny-lead-in-nj-7/,https://dccc.org/wp-content/uploads/2024/10/DCCC-Polling-Memo_-Analytics-Poll-Confirms-Tight-Race-in-NJ-07-.pdf,,,True,DEM,9788,2024,U.S. House,7,District 7,11/5/24,general,False,False,,False,REP,Kean,31241,Thomas H. Kean Jr.,50.0
88571,178,Global Strategy Group,,,Global Strategy Group,118,Global Strategy Group,1.8,-0.5,,1.0,New Jersey,9/30/24,10/3/24,31242.0,Sue Altman,DEM,,,,211919,500.0,lv,,lv,,10/8/24 12:29,,https://subscriber.politicopro.com/article/2024/10/altman-internal-poll-shows-razor-thin-race-against-kean-in-new-jerseys-7th-district-00182859,https://subscriber.politicopro.com/article/2024/10/altman-internal-poll-shows-razor-thin-race-against-kean-in-new-jerseys-7th-district-00182859,,,,True,DEM,9788,2024,U.S. House,7,District 7,11/5/24,general,False,False,,False,DEM,Altman,31242,Sue Altman,45.0
88571,178,Global Strategy Group,,,Global Strategy Group,118,Global Strategy Group,1.8,-0.5,,1.0,New Jersey,9/30/24,10/3/24,31242.0,Sue Altman,DEM,,,,211919,500.0,lv,,lv,,10/8/24 12:29,,https://subscriber.politicopro.com/article/2024/10/altman-internal-poll-shows-razor-thin-race-against-kean-in-new-jerseys-7th-district-00182859,https://subscriber.politicopro.com/article/2024/10/altman-internal-poll-shows-razor-thin-race-against-kean-in-new-jerseys-7th-district-00182859,,,,True,DEM,9788,2024,U.S. House,7,District 7,11/5/24,general,False,False,,False,REP,Kean,31241,Thomas H. Kean Jr.,47.0
88632,178,Global Strategy Group,,,Global Strategy Group,118,Global Strategy Group,1.8,-0.5,,1.0,New Jersey,8/5/24,8/8/24,36785.0,Joseph F. Salerno,DEM,,,,212267,400.0,lv,,lv,,10/10/24 14:54,,https://projects.fivethirtyeight.com/polls/20241010_NJ2_GSG.pdf,,https://projects.fivethirtyeight.com/polls/20241010_NJ2_GSG.pdf,,,True,DEM,9783,2024,U.S. House,2,District 2,11/5/24,general,False,False,,False,DEM,Salerno,36785,Joseph F. Salerno,42.0
88632,178,Global Strategy Group,,,Global Strategy Group,118,Global Strategy Group,1.8,-0.5,,1.0,New Jersey,8/5/24,8/8/24,36785.0,Joseph F. Salerno,DEM,,,,212267,400.0,lv,,lv,,10/10/24 14:54,,https://projects.fivethirtyeight.com/polls/20241010_NJ2_GSG.pdf,,https://projects.fivethirtyeight.com/polls/20241010_NJ2_GSG.pdf,,,True,DEM,9783,2024,U.S. House,2,District 2,11/5/24,general,False,False,,False,REP,Van Drew,36786,Jeff Van Drew,50.0
85697,383,PPP,,,Public Policy Polling,263,Public Policy Polling,1.4,0.0,IVR/Text,4.0,New Jersey,1/16/24,1/17/24,31240.0,Jason Blazakis,DEM,,,,191068,608.0,lv,,lv,,1/23/24 15:15,,https://newjerseyglobe.com/congress/blazakis-internal-poll-gives-kean-modest-early-general-election-lead/,https://newjerseyglobe.com/congress/blazakis-internal-poll-gives-kean-modest-early-general-election-lead/,,,,True,DEM,9788,2024,U.S. House,7,District 7,11/5/24,general,False,False,,True,DEM,Blazakis,31240,Jason Blazakis,33.0
85697,383,PPP,,,Public Policy Polling,263,Public Policy Polling,1.4,0.0,IVR/Text,4.0,New Jersey,1/16/24,1/17/24,31240.0,Jason Blazakis,DEM,,,,191068,608.0,lv,,lv,,1/23/24 15:15,,https://newjerseyglobe.com/congress/blazakis-internal-poll-gives-kean-modest-early-general-election-lead/,https://newjerseyglobe.com/congress/blazakis-internal-poll-gives-kean-modest-early-general-election-lead/,,,,True,DEM,9788,2024,U.S. House,7,District 7,11/5/24,general,False,False,,True,REP,Kean,31241,Thomas H. Kean Jr.,41.0
